,time,중지,검지,약지,소지,엄지,target
1,0.238,-0.31169,-0.37492,-0.28057,-0.144,-0.22567,S
1,0.404,-0.18094,-0.45889,-0.36227,-0.24245,-0.64076,S
1,0.569,-0.69953,-0.82205,-0.58007,-0.40909,-1.07801,S
1,0.736,-1.07917,-1.14721,-0.74436,-0.5653,-1.43471,S
1,0.902,-1.2939,-1.34832,-0.87121,-0.61338,-1.74931,S
1,1.068,-1.48553,-1.5341,-1.00929,-0.71133,-1.92464,S
1,1.234,-1.59452,-1.66886,-1.11235,-0.7991,-2.13303,S
1,1.403,-1.72278,-1.75157,-1.23502,-0.8711,-2.22195,S
1,1.569,-1.85047,-1.79272,-1.31033,-0.70344,-2.45383,S
1,1.734,-1.94553,-2.10088,-1.39049,-0.60626,-2.35299,S
1,1.9,-1.86479,-1.90167,-1.38983,-0.79172,-2.44107,S
1,2.064,-1.95621,-1.98689,-1.56073,-0.98965,-2.79946,S
1,2.23,-2.27191,-2.35824,-1.76267,-1.04816,-2.93268,S
1,2.396,-2.44541,-2.44242,-1.88071,-1.12016,-3.06976,S
1,2.561,-2.71988,-2.70251,-1.98686,-1.02756,-3.24157,S
1,2.731,-2.8073,-2.71531,-2.03091,-0.80037,-3.26405,S
1,2.896,-2.90082,-2.66976,-2.12494,-0.65587,-3.4013,S
1,3.062,-3.0413,-2.72602,-2.14608,-0.80139,-3.53032,S
1,3.227,-3.18751,-2.96113,-2.26963,-0.93088,-3.55582,S
1,3.393,-3.23847,-3.02726,-2.32799,-1.15298,-3.47495,S
1,3.558,-3.22855,-2.88556,-2.4218,-1.31071,-3.66371,S
1,3.724,-3.29726,-3.0621,-2.52311,-1.35702,-3.76891,S
1,3.89,-3.41903,-3.25922,-2.45572,-1.30257,-3.70968,S
1,4.054,-3.47706,-3.29574,-2.53588,-1.33488,-3.94542,S
1,4.22,-3.66239,-3.47879,-2.72109,-1.49389,-4.08417,S
1,4.385,-3.82291,-3.62889,-2.90409,-1.63687,-4.23199,S
1,4.551,-4.05806,-3.83524,-3.03755,-1.76229,-4.27511,S
1,4.716,-4.20847,-3.94566,-3.12454,-1.84599,-4.26269,S
1,4.882,-4.27031,-3.94083,-3.14898,-2.00932,-4.27293,S
1,5.047,-4.32967,-4.01703,-3.2221,-2.13246,-3.76975,R
1,5.212,-2.31009,0.77712,-2.49558,3.24346,16.4773,R
1,5.378,29.2768,24.57869,20.3617,11.61707,10.45238,R
1,5.543,32.5647,16.31225,23.37921,11.23521,6.90511,R
1,5.709,24.71503,12.5211,18.62391,9.02617,4.79507,R
1,5.874,21.24179,10.68745,15.81715,7.65898,3.582,R
1,6.04,19.11876,9.50014,13.74,6.43044,1.8993,R
1,6.205,17.8386,8.8708,12.86615,5.70919,0.48707,R
1,6.372,16.82452,8.28596,11.90928,5.10904,-0.13691,R
1,6.537,15.71538,7.49813,11.01693,4.66408,-0.67096,R
1,6.704,14.75702,6.97585,10.15585,4.12753,-1.29059,R
1,6.87,14.09528,6.49366,9.62974,3.91713,-1.47733,R
1,7.035,13.7271,6.32993,9.31812,3.6556,-1.89595,R
1,7.201,13.34078,5.79148,8.8028,3.33199,-1.77397,R
1,7.366,12.87124,5.34435,8.33966,3.09387,-2.32447,R
1,7.532,12.2179,4.88547,7.84702,2.95928,-2.57262,R
1,7.697,11.77298,4.60145,7.56337,2.83895,-2.9867,R
1,7.862,11.26527,4.30147,7.19538,2.65348,-3.04828,R
1,8.028,10.94385,4.01472,7.01215,2.60286,-2.72261,R
1,8.193,10.56669,3.62994,6.75405,2.35023,-3.24828,R
1,8.359,10.13055,3.35494,6.38385,2.13373,-3.56489,R
1,8.528,9.72343,3.16559,6.09514,2.0139,-3.77394,R
1,8.694,9.36861,2.97541,5.90156,1.89484,-3.45029,R
1,8.859,9.06894,2.81419,5.67539,1.70225,-3.70297,R
1,9.025,8.84047,2.59041,5.48226,1.48015,-3.91018,R
1,9.191,8.54043,2.47181,5.29793,1.38755,-4.09172,R
1,9.359,8.35376,2.3574,5.14796,1.26747,-3.98518,R
1,9.525,8.17262,2.18128,5.0526,1.18046,-4.20816,R
1,9.691,8.01535,2.09038,4.96649,1.07411,-4.3288,R
1,9.857,7.88136,1.98878,4.74142,0.81767,-4.56756,R
1,10.022,7.5271,1.81056,4.57846,0.72863,-4.82108,R
1,10.188,7.3036,1.70686,4.43884,0.62839,-4.7241,R
1,10.353,7.24767,1.62814,4.38774,0.59659,-4.69893,R
1,10.519,7.08429,1.53577,4.25715,0.52332,-5.08164,R
1,10.684,6.877,1.34454,4.06556,0.33048,-5.49036,R
1,10.85,6.68136,1.22971,3.91955,0.24601,-5.64036,R
1,11.016,6.50748,1.09389,3.78279,0.18063,-5.6256,R
1,11.181,6.35021,0.99586,3.70857,0.07505,-5.77643,R
1,11.347,6.24714,0.93435,3.66893,0.00712,-5.9172,R
1,11.512,6.07612,0.78762,3.50773,-0.09846,-5.96972,R
1,11.678,6.00034,0.71709,3.49055,-0.18368,-6.05126,R
1,11.843,5.92934,0.65033,3.39828,-0.20734,-6.04891,R
1,12.009,5.81215,0.61653,3.34939,-0.20073,-5.64137,R
1,12.178,5.83467,0.58379,3.36855,-0.35287,-6.15764,R
1,12.344,5.64876,0.48953,3.20712,-0.39942,-6.39706,R
1,12.51,5.47794,0.44314,3.06574,-0.39052,-6.40495,R
1,12.675,5.30749,0.34679,2.91555,-0.42766,-6.51568,R
1,12.841,5.21568,0.24351,2.87987,-0.49381,-6.66568,R
1,13.006,5.10288,0.08481,2.67682,-0.54164,-6.8583,R
1,13.173,4.91564,-0.01805,2.56055,-0.54978,-7.0343,R
1,13.338,4.76924,-0.12637,2.4773,-0.60193,-7.28296,R
1,13.504,4.65415,-0.23952,2.42973,-0.65485,-7.43195,R
1,13.669,4.5715,-0.32097,2.37974,-0.70675,-7.53111,R
1,13.835,4.47759,-0.39045,2.27976,-0.7963,-7.56366,R
1,14.002,4.38445,-0.42887,2.22669,-0.83421,-7.69,R
1,14.167,4.28367,-0.51388,2.20224,-0.86321,-7.67691,R
1,14.334,4.20789,-0.56196,2.17339,-0.86652,-7.70745,R
1,14.499,4.12124,-0.63879,2.09037,-0.99067,-7.83916,R
1,14.666,4.00634,-0.71541,2.02936,-1.01077,-7.93429,R
1,14.832,3.94469,-0.75193,1.95603,-1.05605,-7.62557,R
1,14.998,3.9382,-0.60562,2.18396,-0.82301,0.22634,R
1,15.164,8.02871,4.98728,6.69217,2.98752,5.22778,S
1,15.33,13.92655,7.45468,3.55023,3.73472,6.59471,S
1,15.496,12.16999,5.74803,1.89217,2.25177,6.29992,S
1,15.661,12.14899,7.46559,4.70068,2.42452,6.22274,S
1,15.827,11.55902,7.46224,3.55089,1.49567,4.50363,S
1,15.992,10.78084,6.62046,3.18973,1.07793,3.22915,S
1,16.158,9.90762,5.95018,3.02874,0.83319,3.306,S
1,16.323,9.87784,5.84249,2.99703,0.67291,3.02546,S
1,16.489,9.70797,5.51481,2.65524,0.36431,2.4003,S
1,16.654,9.41842,5.44239,2.64599,0.21345,2.24343,S
1,16.82,9.08345,4.89407,2.35111,0.14171,1.13623,S
1,16.986,8.28065,4.07077,2.33724,-0.07505,0.46358,S
1,17.151,7.79852,3.57116,1.14208,-0.65052,0.31443,S
1,17.317,7.37479,3.04993,0.9408,-0.52485,0.10168,S
1,17.482,7.26008,2.98716,0.8287,-0.75305,-0.36795,S
1,17.648,7.10032,2.7932,0.50541,-0.89984,-0.80351,S
1,17.813,6.70751,2.48251,0.32505,-1.11584,-1.28673,S
1,17.979,6.37025,2.06414,0.01476,-1.41731,-1.46693,S
1,18.144,6.14998,1.86094,-0.07774,-1.45013,-1.54813,S
1,18.311,5.97572,1.69573,-0.26317,-1.63178,-1.84578,S
1,18.476,5.73275,1.52423,-0.27396,-1.67783,-1.99108,S
1,18.641,5.51325,1.30486,-0.58514,-1.88237,-2.16541,S
1,18.808,5.54684,1.38274,-0.36932,-1.90298,-2.07598,S
1,18.973,5.44091,1.3903,-0.62566,-2.04977,-2.24712,S
