,time,중지,검지,약지,소지,엄지,target
1,0.238,-0.03844,-0.05858,-0.10447,-0.06347,-0.14911,1
1,0.404,-0.08948,-0.10142,-0.1905,-0.12794,-0.31285,1
1,0.569,-0.1528,-0.15586,-0.2629,-0.18167,-0.45022,1
1,0.734,-0.19943,-0.1951,-0.32168,-0.22914,-0.57584,1
1,0.9,-0.25646,-0.24346,-0.40184,-0.29037,-0.69955,1
1,1.065,-0.30655,-0.27938,-0.4844,-0.3366,-0.74605,1
1,1.231,-0.35538,-0.3084,-0.556,-0.37808,-0.88486,1
1,1.396,-0.41052,-0.34985,-0.61318,-0.41156,-0.77434,1
1,1.562,-0.4436,-0.34819,-0.68344,-0.46154,-1.12388,1
1,1.727,-0.50346,-0.39158,-0.77028,-0.51651,-1.29265,1
1,1.893,-0.55639,-0.43552,-0.84482,-0.56449,-1.45902,1
1,2.057,-0.61026,-0.47835,-0.91776,-0.60822,-1.58153,1
1,2.224,-0.65847,-0.51759,-0.98856,-0.66669,-1.70715,1
1,2.389,-0.7051,-0.55794,-1.06017,-0.70742,-1.81431,1
1,2.555,-0.74385,-0.59745,-1.12295,-0.74491,-1.91788,1
1,2.721,-0.78543,-0.63642,-1.17692,-0.77814,-2.00634,1
1,2.886,-0.81883,-0.66875,-1.23463,-0.83087,-2.08377,1
1,3.053,-0.86073,-0.70661,-1.30089,-0.8726,-2.18422,1
1,3.218,-0.90327,-0.73949,-1.35086,-0.91208,-2.22689,1
1,3.385,-0.9291,-0.76851,-1.40536,-0.94132,-2.33693,1
1,3.551,-0.96691,-0.79614,-1.458,-0.9818,-2.4242,1
1,3.716,-1.00282,-0.82322,-1.52212,-1.02553,-2.49012,1
1,3.882,-1.0359,-0.85224,-1.57128,-1.06451,-2.54886,1
1,4.047,-1.07151,-0.86827,-1.62498,-1.09924,-2.62006,1
1,4.213,-1.10427,-0.89397,-1.68056,-1.13473,-2.68143,1
1,4.378,-1.13767,-0.92685,-1.73212,-1.17846,-2.75503,1
1,4.543,-1.16665,-0.95062,-1.77113,-1.20994,-2.8176,1
1,4.708,-1.19595,-0.96112,-1.81976,-1.23268,-2.88425,1
